id;name;terms;genus;species
Abies alba;Abies alba;Abies alba, Abies, alba;Abies;Abies alba
Abies bornmuelleriana;Abies bornmuelleriana;Abies bornmuelleriana, Abies, bornmuelleriana;Abies;Abies bornmuelleriana
Abies concolor;Abies concolor;Abies concolor, Abies, concolor;Abies;Abies concolor
Abies koreana;Abies koreana;Abies koreana, Abies, koreana;Abies;Abies koreana
Abies nordmanniana;Abies nordmanniana;Abies nordmanniana, Abies, nordmanniana;Abies;Abies nordmanniana
Abies numidica;Abies numidica;Abies numidica, Abies, numidica;Abies;Abies numidica
Abies pinsapo;Abies pinsapo;Abies pinsapo, Abies, pinsapo;Abies;Abies pinsapo
Acer buergerianum;Acer buergerianum;Acer buergerianum, Acer, buergerianum;Acer;Acer buergerianum
Acer campestre;Acer campestre;Acer campestre, Acer, campestre;Acer;Acer campestre
Acer capillipes;Acer capillipes;Acer capillipes, Acer, capillipes;Acer;Acer capillipes
Acer cappadocicum;Acer cappadocicum;Acer cappadocicum, Acer, cappadocicum;Acer;Acer cappadocicum
Acer griseum;Acer griseum;Acer griseum, Acer, griseum;Acer;Acer griseum
Acer heldreichii;Acer heldreichii;Acer heldreichii, Acer, heldreichii;Acer;Acer heldreichii
Acer hyrcanum;Acer hyrcanum;Acer hyrcanum, Acer, hyrcanum;Acer;Acer hyrcanum
Acer monspessulanum;Acer monspessulanum;Acer monspessulanum, Acer, monspessulanum;Acer;Acer monspessulanum
Acer obtusifolium;Acer obtusifolium;Acer obtusifolium, Acer, obtusifolium;Acer;Acer obtusifolium
Acer opalus;Acer opalus;Acer opalus, Acer, opalus;Acer;Acer opalus
Acer platanoides;Acer platanoides;Acer platanoides, Acer, platanoides;Acer;Acer platanoides
Acer pseudoplatanus;Acer pseudoplatanus;Acer pseudoplatanus, Acer, pseudoplatanus;Acer;Acer pseudoplatanus
Acer rubrum;Acer rubrum;Acer rubrum, Acer, rubrum;Acer;Acer rubrum
Acer saccharinum;Acer saccharinum;Acer saccharinum, Acer, saccharinum;Acer;Acer saccharinum
Acer tataricum;Acer tataricum;Acer tataricum, Acer, tataricum;Acer;Acer tataricum
Acer peronai;Acer peronai;Acer peronai, Acer, peronai;Acer;Acer peronai
Acer zoeschense;Acer zoeschense;Acer zoeschense, Acer, zoeschense;Acer;Acer zoeschense
Aesculus flava;Aesculus flava;Aesculus flava, Aesculus, flava;Aesculus;Aesculus flava
Aesculus hippocastanum;Aesculus hippocastanum;Aesculus hippocastanum, Aesculus, hippocastanum;Aesculus;Aesculus hippocastanum
Aesculus indica;Aesculus indica;Aesculus indica, Aesculus, indica;Aesculus;Aesculus indica
Aesculus × carnea;Aesculus × carnea;Aesculus × carnea, Aesculus, ×;Aesculus;Aesculus × carnea
Agonis flexuosa;Agonis flexuosa;Agonis flexuosa, Agonis, flexuosa;Agonis;Agonis flexuosa
Albizia julibrissin;Albizia julibrissin;Albizia julibrissin, Albizia, julibrissin;Albizia;Albizia julibrissin
Alniaria alnifolia;Alniaria alnifolia;Alniaria alnifolia, Alniaria, alnifolia;Alniaria;Alniaria alnifolia
Alnus cordata;Alnus cordata;Alnus cordata, Alnus, cordata;Alnus;Alnus cordata
Alnus glutinosa;Alnus glutinosa;Alnus glutinosa, Alnus, glutinosa;Alnus;Alnus glutinosa
Alnus incana;Alnus incana;Alnus incana, Alnus, incana;Alnus;Alnus incana
Alnus ×spaethii;Alnus ×spaethii;Alnus ×spaethii, Alnus, ×spaethii;Alnus;Alnus ×spaethii
Amelanchier alnifolia;Amelanchier alnifolia;Amelanchier alnifolia, Amelanchier, alnifolia;Amelanchier;Amelanchier alnifolia
Amelanchier canadensis;Amelanchier canadensis;Amelanchier canadensis, Amelanchier, canadensis;Amelanchier;Amelanchier canadensis
Amelanchier laevis;Amelanchier laevis;Amelanchier laevis, Amelanchier, laevis;Amelanchier;Amelanchier laevis
Amelanchier ovalis;Amelanchier ovalis;Amelanchier ovalis, Amelanchier, ovalis;Amelanchier;Amelanchier ovalis
Arbutus andrachne;Arbutus andrachne;Arbutus andrachne, Arbutus, andrachne;Arbutus;Arbutus andrachne
Arbutus unedo;Arbutus unedo;Arbutus unedo, Arbutus, unedo;Arbutus;Arbutus unedo
Ilex integrifolia;Ilex integrifolia;Ilex integrifolia, Ilex, integrifolia;Ilex;Ilex integrifolia
Robinia variegata;Robinia variegata;Robinia variegata, Robinia, variegata;Robinia;Robinia variegata
Betula pendula;Betula pendula;Betula pendula, Betula, pendula;Betula;Betula pendula
Betula pubescens;Betula pubescens;Betula pubescens, Betula, pubescens;Betula;Betula pubescens
Betula utilis;Betula utilis;Betula utilis, Betula, utilis;Betula;Betula utilis
Brachychiton acerifolius;Brachychiton acerifolius;Brachychiton acerifolius, Brachychiton, acerifolius;Brachychiton;Brachychiton acerifolius
Broussonetia papyrifera;Broussonetia papyrifera;Broussonetia papyrifera, Broussonetia, papyrifera;Broussonetia;Broussonetia papyrifera
